Rank,NOC,Gold,Silver,Bronze,Total,Year,HostCountry
12,CAN,3,3,3,9,1920,Belgium
13,SUI,2,2,7,11,1920,Belgium
14,EST,1,2,0,3,1920,Belgium
15,BRA,1,1,1,3,1920,Belgium
16,AUS,0,2,1,3,1920,Belgium
17,JPN,0,2,0,2,1920,Belgium
17,ESP,0,2,0,2,1920,Belgium
19,GRE,0,1,0,1,1920,Belgium
19,LUX,0,1,0,1,1920,Belgium
21,CZE,0,0,2,2,1920,Belgium
22,NZL,0,0,1,1,1920,Belgium
1,USA,45,27,27,99,1924,France
2,FIN,14,13,10,37,1924,France
3,FRA,13,15,10,38,1924,France
4,GBR,9,13,12,34,1924,France
5,ITA,8,3,5,16,1924,France
6,SUI,7,8,10,25,1924,France
7,NOR,5,2,3,10,1924,France
8,SWE,4,13,12,29,1924,France
9,NED,4,1,5,10,1924,France
10,BEL,3,7,3,13,1924,France
11,AUS,3,1,2,6,1924,France
12,DEN,2,5,2,9,1924,France
13,HUN,2,3,4,9,1924,France
14,YUG,2,0,0,2,1924,France
15,CZE,1,4,5,10,1924,France
16,ARG,1,3,2,6,1924,France
17,EST,1,1,4,6,1924,France
18,RSA,1,1,1,3,1924,France
19,URU,1,0,0,1,1924,France
20,AUT,0,3,1,4,1924,France
20,CAN,0,3,1,4,1924,France
22,POL,0,1,1,2,1924,France
23,HAI,0,0,1,1,1924,France
23,JPN,0,0,1,1,1924,France
23,NZL,0,0,1,1,1924,France
23,POR,0,0,1,1,1924,France
23,ROU,0,0,1,1,1924,France
1,USA,22,18,16,56,1928,Netherlands
2,GER,10,7,14,31,1928,Netherlands
3,FIN,8,8,9,25,1928,Netherlands
4,SWE,7,6,12,25,1928,Netherlands
5,ITA,7,5,7,19,1928,Netherlands
6,SUI,7,4,4,15,1928,Netherlands
7,FRA,6,10,5,21,1928,Netherlands
8,NED,6,9,4,19,1928,Netherlands
9,HUN,4,5,0,9,1928,Netherlands
10,CAN,4,4,7,15,1928,Netherlands
11,GBR,3,10,7,20,1928,Netherlands
12,ARG,3,3,1,7,1928,Netherlands
13,DEN,3,1,2,6,1928,Netherlands
14,CZE,2,5,2,9,1928,Netherlands
15,JPN,2,2,1,5,1928,Netherlands
16,EST,2,1,2,5,1928,Netherlands
17,EGY,2,1,1,4,1928,Netherlands
18,AUT,2,0,1,3,1928,Netherlands
19,AUS,1,2,1,4,1928,Netherlands
19,NOR,1,2,1,4,1928,Netherlands
21,POL,1,1,3,5,1928,Netherlands
21,YUG,1,1,3,5,1928,Netherlands
23,RSA,1,0,2,3,1928,Netherlands
24,IND,1,0,0,1,1928,Netherlands
24,IRL,1,0,0,1,1928,Netherlands
24,NZL,1,0,0,1,1928,Netherlands
24,ESP,1,0,0,1,1928,Netherlands
24,URU,1,0,0,1,1928,Netherlands
29,BEL,0,1,2,3,1928,Netherlands
30,CHI,0,1,0,1,1928,Netherlands
30,HAI,0,1,0,1,1928,Netherlands
32,PHI,0,0,1,1,1928,Netherlands
32,POR,0,0,1,1,1928,Netherlands
1,USA,44,36,30,110,1932,United States
2,ITA,12,12,12,36,1932,United States
3,FRA,11,5,4,20,1932,United States
4,SWE,10,5,9,24,1932,United States
5,JPN,7,7,4,18,1932,United States
6,HUN,6,5,5,16,1932,United States
7,GER,5,12,7,24,1932,United States
8,FIN,5,8,12,25,1932,United States
9,GBR,5,7,5,17,1932,United States
10,POL,3,2,4,9,1932,United States
11,AUS,3,1,1,5,1932,United States
12,AFG,3,1,0,4,1932,United States
13,CAN,2,5,9,16,1932,United States
14,NED,2,5,1,8,1932,United States
15,RSA,2,0,3,5,1932,United States
16,IRL,2,0,0,2,1932,United States
17,CZE,1,3,2,6,1932,United States
18,AUS,1,1,3,5,1932,United States
19,IND,1,0,0,1,1932,United States
20,DEN,0,5,3,8,1932,United States
21,MEX,0,2,0,2,1932,United States
22,LAT,0,1,0,1,1932,United States
22,NZL,0,1,0,1,1932,United States
22,SUI ,0,1,0,1,1932,United States
25,PHI,0,0,3,3,1932,United States
26,BEL,0,0,1,1,1932,United States
26,ESP,0,0,1,1,1932,United States
26,URU,0,0,1,1,1932,United States
1,GER,38,31,32,101,1936,Germany
2,USA,24,21,12,57,1936,Germany
3,HUN,10,1,5,16,1936,Germany
4,ITA,9,13,5,27,1936,Germany
5,FIN,8,6,6,20,1936,Germany
6,FRA,7,6,6,19,1936,Germany
7,SWE,6,5,10,21,1936,Germany
8,JPN,6,4,10,20,1936,Germany
9,NED,6,4,7,17,1936,Germany
10,AUT,5,7,5,17,1936,Germany
11,SUI,4,9,5,18,1936,Germany
12,GBR,4,7,3,14,1936,Germany
13,CZE,3,5,1,9,1936,Germany
14,ARG,2,2,3,7,1936,Germany
14,EST,2,2,3,7,1936,Germany
16,EGY,2,1,2,5,1936,Germany
17,CAN,1,3,5,9,1936,Germany
18,NOR,1,3,2,6,1936,Germany
19,TUR,1,0,1,2,1936,Germany
20,IND,1,0,0,1,1936,Germany
20,NZL,1,0,0,1,1936,Germany
22,POL,0,4,5,9,1936,Germany
23,DEN,0,2,3,5,1936,Germany
24,LAT,0,1,1,2,1936,Germany
25,ROU,0,1,0,1,1936,Germany
25,RSA,0,1,0,1,1936,Germany
25,YUG,0,1,0,1,1936,Germany
28,BEL,0,0,3,3,1936,Germany
28,MEX,0,0,3,3,1936,Germany
30,AUS,0,0,1,1,1936,Germany
30,PHI,0,0,1,1,1936,Germany
30,POR,0,0,1,1,1936,Germany
1,USA,38,27,19,84,1948,United Kingdom
2,SWE,16,11,17,44,1948,United Kingdom
3,FRA,10,6,13,29,1948,United Kingdom
4,HUN,10,5,12,27,1948,United Kingdom
5,ITA,8,11,8,27,1948,United Kingdom
6,FIN,8,7,5,20,1948,United Kingdom
7,TUR,6,4,2,12,1948,United Kingdom
8,CZE,6,2,3,11,1948,United Kingdom
9,SUI,5,10,5,20,1948,United Kingdom
10,DEN,5,7,8,20,1948,United Kingdom
11,NED,5,2,9,16,1948,United Kingdom
12,GBR,3,14,6,23,1948,United Kingdom
13,ARG,3,3,1,7,1948,United Kingdom
14,AUS,2,6,5,13,1948,United Kingdom
15,BEL,2,2,3,7,1948,United Kingdom
16,EGY,2,2,1,5,1948,United Kingdom
17,MEX,2,1,2,5,1948,United Kingdom
18,RSA,2,1,1,4,1948,United Kingdom
19,NOR,1,3,3,7,1948,United Kingdom
20,JAM,1,2,0,3,1948,United Kingdom
21,AUT,1,0,3,4,1948,United Kingdom
22,IND,1,0,0,1,1948,United Kingdom
22,PER,1,0,0,1,1948,United Kingdom
24,YUG,0,2,0,2,1948,United Kingdom
25,CAN,0,1,2,3,1948,United Kingdom
26,POR,0,1,1,2,1948,United Kingdom
26,URU,0,1,1,2,1948,United Kingdom
28,Ceylon,0,1,0,1,1948,United Kingdom
28,CUB,0,1,0,1,1948,United Kingdom
28,ESP,0,1,0,1,1948,United Kingdom
28,TTO,0,1,0,1,1948,United Kingdom
32,PAN,0,0,2,2,1948,United Kingdom
32,KOR,0,0,2,2,1948,United Kingdom
34,BRA,0,0,1,1,1948,United Kingdom
34,IRI,0,0,1,1,1948,United Kingdom
34,POL,0,0,1,1,1948,United Kingdom
34,PUR,0,0,1,1,1948,United Kingdom
1,USA,40,19,17,76,1952,Finland
2,URS,22,30,19,71,1952,Finland
3,HUN,16,10,16,42,1952,Finland
4,SWE,12,13,10,35,1952,Finland
5,ITA,8,9,4,21,1952,Finland
6,CZE,7,3,3,13,1952,Finland
7,FRA,6,6,6,18,1952,Finland
8,FIN,6,3,13,22,1952,Finland
9,AUS,6,2,3,11,1952,Finland
10,NOR,3,2,0,5,1952,Finland
11,SUI,2,6,6,14,1952,Finland
12,RSA,2,4,4,10,1952,Finland
13,JAM,2,3,0,5,1952,Finland
14,BEL,2,2,0,4,1952,Finland
15,DEN,2,1,3,6,1952,Finland
16,TUR,2,0,1,3,1952,Finland
17,JPN,1,6,2,9,1952,Finland
18,GBR,1,2,8,11,1952,Finland
19,ARG,1,2,2,5,1952,Finland
20,POL,1,2,1,4,1952,Finland
21,CAN,1,2,0,3,1952,Finland
21,YUG,1,2,0,3,1952,Finland
23,ROU,1,1,2,4,1952,Finland
24,BRA,1,0,2,3,1952,Finland
24,NZL,1,0,2,3,1952,Finland
26,IND,1,0,1,2,1952,Finland
27,LUX,1,0,0,1,1952,Finland
28,GER,0,7,17,24,1952,Finland
29,NED,0,5,0,5,1952,Finland
30,IRI,0,3,4,7,1952,Finland
31,CHI,0,2,0,2,1952,Finland
32,AUT,0,1,1,2,1952,Finland
32,LBN,0,1,1,2,1952,Finland
34,IRL,0,1,0,1,1952,Finland
34,MEX,0,1,0,1,1952,Finland
34,ESP,0,1,0,1,1952,Finland
37,KOR,0,0,2,2,1952,Finland
37,TTO,0,0,2,2,1952,Finland
37,URU,0,0,2,2,1952,Finland
40,BUL,0,0,1,1,1952,Finland
40,EGY,0,0,1,1,1952,Finland
40,POR,0,0,1,1,1952,Finland
40,VEN,0,0,1,1,1952,Finland
1,URS,37,29,32,98,1956,Australia
2,USA,32,25,17,74,1956,Australia
3,AUS,13,8,14,35,1956,Australia
4,HUN,9,10,7,26,1956,Australia
5,ITA,8,8,9,25,1956,Australia
6,SWE,8,5,6,19,1956,Australia
7,EUN,6,13,7,26,1956,Australia
8,GBR,6,7,11,24,1956,Australia
9,ROU,5,3,5,13,1956,Australia
10,JPN,4,10,5,19,1956,Australia
11,FRA,4,4,6,14,1956,Australia
12,TUR,3,2,2,7,1956,Australia
13,FIN,3,1,11,15,1956,Australia
14,IRI,2,2,1,5,1956,Australia
15,CAN,2,1,3,6,1956,Australia
16,NZL,2,0,0,2,1956,Australia
17,POL,1,4,4,9,1956,Australia
18,CZE,1,4,1,6,1956,Australia
19,BUL,1,3,1,5,1956,Australia
20,DEN,1,2,1,4,1956,Australia
21,IRL,1,1,3,5,1956,Australia
22,NOR,1,0,2,3,1956,Australia
23,MEX,1,0,1,2,1956,Australia
24,BRA,1,0,0,1,1956,Australia
24,IND,1,0,0,1,1956,Australia
26,YUG,0,3,0,3,1956,Australia
27,CHI,0,2,2,4,1956,Australia
28,BEL,0,2,0,2,1956,Australia
29,ARG,0,1,1,2,1956,Australia
29,KOR,0,1,1,2,1956,Australia
31,ISL,0,1,0,1,1956,Australia
31,PAK,0,1,0,1,1956,Australia
33,RSA,0,0,4,4,1956,Australia
34,AUT,0,0,2,2,1956,Australia
35,BAH,0,0,1,1,1956,Australia
35,GRE,0,0,1,1,1956,Australia
35,SUI,0,0,1,1,1956,Australia
35,URU,0,0,1,1,1956,Australia
1,URS,43,29,31,103,1960,Italy
2,USA,34,21,16,71,1960,Italy
3,ITA,13,10,13,36,1960,Italy
4,EUN,12,19,11,42,1960,Italy
5,AUS,8,8,6,22,1960,Italy
6,TUR,7,2,0,9,1960,Italy
7,HUN,6,8,7,21,1960,Italy
8,JPN,4,7,7,18,1960,Italy
9,POL,4,6,11,21,1960,Italy
10,CZE,3,2,3,8,1960,Italy
11,ROU,3,1,6,10,1960,Italy
12,GBR,2,6,12,20,1960,Italy
13,DEN,2,3,1,6,1960,Italy
14,NZL,2,0,1,3,1960,Italy
15,BUL,1,3,3,7,1960,Italy
16,SWE,1,2,3,6,1960,Italy
17,FIN,1,1,3,5,1960,Italy
18,AUS,1,1,0,2,1960,Italy
18,YUG,1,1,0,2,1960,Italy
20,PAK,1,0,1,2,1960,Italy
21,ETH,1,0,0,1,1960,Italy
21,GRE,1,0,0,1,1960,Italy
21,NOR,1,0,0,1,1960,Italy
24,SUI,0,3,3,6,1960,Italy
25,FRA,0,2,3,5,1960,Italy
26,BEL,0,2,2,4,1960,Italy
27,IRI,0,1,3,4,1960,Italy
28,NED,0,1,2,3,1960,Italy
28,RSA,0,1,2,3,1960,Italy
30,AFG,0,1,1,2,1960,Italy
30,EGY,0,1,1,2,1960,Italy
32,CAN,0,1,0,1,1960,Italy
32,USA,0,1,0,1,1960,Italy
32,GHA,0,1,0,1,1960,Italy
32,IND,0,1,0,1,1960,Italy
32,MAR,0,1,0,1,1960,Italy
32,POR,0,1,0,1,1960,Italy
32,SGP,0,1,0,1,1960,Italy
39,BRA,0,0,2,2,1960,Italy
39,WIF,0,0,2,2,1960,Italy
41,Iraq ,0,0,1,1,1960,Italy
41,MEX,0,0,1,1,1960,Italy
41,ESP,0,0,1,1,1960,Italy
41,VEN,0,0,1,1,1960,Italy
1,USA,36,26,28,90,1964,Japan
2,URS,30,31,35,96,1964,Japan
3,JPN,16,5,8,29,1964,Japan
4,EUN,10,22,18,50,1964,Japan
5,ITA,10,10,7,27,1964,Japan
6,HUN,10,7,5,22,1964,Japan
7,POL,7,6,10,23,1964,Japan
8,AUS,6,2,10,18,1964,Japan
9,CZE,5,6,3,14,1964,Japan
10,GBR,4,12,2,18,1964,Japan
11,BUL,3,5,2,10,1964,Japan
12,FIN,3,0,2,5,1964,Japan
12,NZL,3,0,2,5,1964,Japan
14,ROU,2,4,6,12,1964,Japan
15,NED,2,4,4,10,1964,Japan
16,TUR,2,3,1,6,1964,Japan
17,SWE,2,2,4,8,1964,Japan
18,DEN,2,1,3,6,1964,Japan
19,YUG,2,1,2,5,1964,Japan
20,BEL,2,0,1,3,1964,Japan
21,FRA,1,8,6,15,1964,Japan
22,CAN,1,2,1,4,1964,Japan
22,SUI,1,2,1,4,1964,Japan
24,BAH,1,0,0,1,1964,Japan
24,ETH,1,0,0,1,1964,Japan
24,IND,1,0,0,1,1964,Japan
27,KOR,0,2,1,3,1964,Japan
28,TTO,0,1,2,3,1964,Japan
29,TUN,0,1,1,2,1964,Japan
30,ARG,0,1,0,1,1964,Japan
30,CUB,0,1,0,1,1964,Japan
30,PAK,0,1,0,1,1964,Japan
30,PHI,0,1,0,1,1964,Japan
34,IRI,0,0,2,2,1964,Japan
35,BRA,0,0,1,1,1964,Japan
35,GHA,0,0,1,1,1964,Japan
35,IRL,0,0,1,1,1964,Japan
35,KEN,0,0,1,1,1964,Japan
35,MEX,0,0,1,1,1964,Japan
35,NGR,0,0,1,1,1964,Japan
35,URU,0,0,1,1,1964,Japan
1,USA,45,28,34,107,1968,Mexico
2,URS,29,32,30,91,1968,Mexico
3,JPN,11,7,7,25,1968,Mexico
4,HUN,10,10,12,32,1968,Mexico
5,GDR,9,9,7,25,1968,Mexico
6,FRA,7,3,5,15,1968,Mexico
7,CZE,7,2,4,13,1968,Mexico
8,FRG,5,11,10,26,1968,Mexico
9,AUS,5,7,5,17,1968,Mexico
10,GBR,5,5,3,13,1968,Mexico
11,POL,5,2,11,18,1968,Mexico
12,ROU,4,6,5,15,1968,Mexico
13,ITA,3,4,9,16,1968,Mexico
14,KEN,3,4,2,9,1968,Mexico
15,MEX,3,3,3,9,1968,Mexico
16,YUG,3,3,2,8,1968,Mexico
17,NED,3,3,1,7,1968,Mexico
18,BUL,2,4,3,9,1968,Mexico
19,IRI,2,1,2,5,1968,Mexico
20,SWE,2,1,1,4,1968,Mexico
21,TUR,2,0,0,2,1968,Mexico
22,DEN,1,4,3,8,1968,Mexico
23,CAN,1,3,1,5,1968,Mexico
24,FIN,1,2,1,4,1968,Mexico
25,ETH,1,1,0,2,1968,Mexico
25,NOR,1,1,0,2,1968,Mexico
27,NZL,1,0,2,3,1968,Mexico
28,TUN,1,0,1,2,1968,Mexico
29,PAK,1,0,0,1,1968,Mexico
29,VEN,1,0,0,1,1968,Mexico
31,CUB,0,4,0,4,1968,Mexico
32,AUT,0,2,2,4,1968,Mexico
33,SUI,0,1,4,5,1968,Mexico
34,MGL,0,1,3,4,1968,Mexico
35,BRA,0,1,2,3,1968,Mexico
36,BEL,0,1,1,2,1968,Mexico
36,KOR,0,1,1,2,1968,Mexico
36,UGA,0,1,1,2,1968,Mexico
39,CMR,0,1,0,1,1968,Mexico
39,JAM,0,1,0,1,1968,Mexico
41,ARG,0,0,2,2,1968,Mexico
42,GRE,0,0,1,1,1968,Mexico
42,IND,0,0,1,1,1968,Mexico
42,Taiwan,0,0,1,1,1968,Mexico
1,URS,50,27,22,99,1972,West Germany
2,USA,33,31,30,94,1972,West Germany
3,GDR,20,23,23,66,1972,West Germany
4,FRG,13,11,16,40,1972,West Germany
5,JPN,13,8,8,29,1972,West Germany
6,AUS,8,7,2,17,1972,West Germany
7,POL,7,5,9,21,1972,West Germany
8,HUN,6,13,16,35,1972,West Germany
9,BUL,6,10,5,21,1972,West Germany
10,ITA,5,3,10,18,1972,West Germany
11,SWE,4,6,6,16,1972,West Germany
12,GBR,4,5,9,18,1972,West Germany
13,ROU,3,6,7,16,1972,West Germany
14,CUB,3,1,4,8,1972,West Germany
14,FIN,3,1,4,8,1972,West Germany
16,NED,3,1,1,5,1972,West Germany
17,FRA,2,4,7,13,1972,West Germany
18,CZE,2,4,2,8,1972,West Germany
19,KEN,2,3,4,9,1972,West Germany
20,YUG,2,1,2,5,1972,West Germany
21,NOR,2,1,1,4,1972,West Germany
22,PRK,1,1,3,5,1972,West Germany
23,NZL,1,1,1,3,1972,West Germany
24,UGA,1,1,0,2,1972,West Germany
25,DEN,1,0,0,1,1972,West Germany
26,SUI,0,3,0,3,1972,West Germany
27,CAN,0,2,3,5,1972,West Germany
28,IRI,0,2,1,3,1972,West Germany
29,BEL,0,2,0,2,1972,West Germany
29,GRE,0,2,0,2,1972,West Germany
31,AUT,0,1,2,3,1972,West Germany
31,COL,0,1,2,3,1972,West Germany
33,ARG,0,1,0,1,1972,West Germany
33,LBN,0,1,0,1,1972,West Germany
33,MEX,0,1,0,1,1972,West Germany
33,MGL,0,1,0,1,1972,West Germany
33,PAK,0,1,0,1,1972,West Germany
33,KOR,0,1,0,1,1972,West Germany
33,TUN,0,1,0,1,1972,West Germany
33,TUR,0,1,0,1,1972,West Germany
41,BRA,0,0,2,2,1972,West Germany
41,ETH,0,0,2,2,1972,West Germany
43,GHA,0,0,1,1,1972,West Germany
43,IND,0,0,1,1,1972,West Germany
43,JAM,0,0,1,1,1972,West Germany
43,NIG,0,0,1,1,1972,West Germany
43,NGR,0,0,1,1,1972,West Germany
43,ESP,0,0,1,1,1972,West Germany
1,URS,49,41,35,125,1976,Canada
2,GDR,40,25,25,90,1976,Canada
3,USA,34,35,25,94,1976,Canada
4,FRG,10,12,17,39,1976,Canada
5,JPN,9,6,10,25,1976,Canada
6,POL,7,6,13,26,1976,Canada
7,BUL,6,9,7,22,1976,Canada
8,CUB,6,4,3,13,1976,Canada
9,ROU,4,9,14,27,1976,Canada
10,HUN,4,5,13,22,1976,Canada
11,FIN,4,2,0,6,1976,Canada
12,SWE,4,1,0,5,1976,Canada
13,GBR,3,5,5,13,1976,Canada
14,ITA,2,7,4,13,1976,Canada
15,FRA,2,3,4,9,1976,Canada
16,YUG,2,3,3,8,1976,Canada
17,CZE,2,2,4,8,1976,Canada
18,NZL,2,1,1,4,1976,Canada
19,KOR,1,1,4,6,1976,Canada
20,SUI,1,1,2,4,1976,Canada
21,JAM,1,1,0,2,1976,Canada
21,PRK,1,1,0,2,1976,Canada
21,NOR,1,1,0,2,1976,Canada
24,DEN,1,0,2,3,1976,Canada
25,MEX,1,0,1,2,1976,Canada
26,TTO,1,0,0,1,1976,Canada
27,CAN,0,5,6,11,1976,Canada
28,BEL,0,3,3,6,1976,Canada
29,NED,0,2,3,5,1976,Canada
30,POR,0,2,0,2,1976,Canada
30,ESP,0,2,0,2,1976,Canada
32,AUS,0,1,4,5,1976,Canada
33,IRI,0,1,1,2,1976,Canada
34,MGL,0,1,0,1,1976,Canada
34,VEN,0,1,0,1,1976,Canada
36,BRA,0,0,2,2,1976,Canada
37,AUT,0,0,1,1,1976,Canada
37,BER,0,0,1,1,1976,Canada
37,PAK,0,0,1,1,1976,Canada
37,PUR,0,0,1,1,1976,Canada
37,THA,0,0,1,1,1976,Canada
1,URS,80,69,46,195,1980,Soviet Union
2,GDR,47,37,42,126,1980,Soviet Union
3,BUL,8,16,17,41,1980,Soviet Union
4,CUB,8,7,5,20,1980,Soviet Union
5,ITA,8,3,4,15,1980,Soviet Union
6,HUN,7,10,15,32,1980,Soviet Union
7,ROU,6,6,13,25,1980,Soviet Union
8,FRA,6,5,3,14,1980,Soviet Union
9,GBR,5,7,9,21,1980,Soviet Union
10,POL,3,14,15,32,1980,Soviet Union
11,SWE,3,3,6,12,1980,Soviet Union
12,FIN,3,1,4,8,1980,Soviet Union
13,CZE,2,3,9,14,1980,Soviet Union
14,YUG,2,3,4,9,1980,Soviet Union
15,AUS,2,2,5,9,1980,Soviet Union
16,DEN,2,1,2,5,1980,Soviet Union
17,BRA,2,0,2,4,1980,Soviet Union
17,ETH,2,0,2,4,1980,Soviet Union
19,SUI,2,0,0,2,1980,Soviet Union
20,ESP,1,3,2,6,1980,Soviet Union
21,AUT,1,2,1,4,1980,Soviet Union
22,GRE,1,0,2,3,1980,Soviet Union
23,BEL,1,0,0,1,1980,Soviet Union
23,IND,1,0,0,1,1980,Soviet Union
23,ZIM,1,0,0,1,1980,Soviet Union
26,PRK,0,3,2,5,1980,Soviet Union
27,MGL,0,2,2,4,1980,Soviet Union
28,TAN,0,2,0,2,1980,Soviet Union
29,MEX,0,1,3,4,1980,Soviet Union
30,NED,0,1,2,3,1980,Soviet Union
31,IRL,0,1,1,2,1980,Soviet Union
32,UGA,0,1,0,1,1980,Soviet Union
32,VEN,0,1,0,1,1980,Soviet Union
34,JAM,0,0,3,3,1980,Soviet Union
35,GUY,0,0,1,1,1980,Soviet Union
35,LBN,0,0,1,1,1980,Soviet Union
1,USA,83,61,30,174,1984,United States
2,ROU,20,16,17,53,1984,United States
3,FRG,17,19,23,59,1984,United States
4,CHN,15,8,9,32,1984,United States
5,ITA,14,6,12,32,1984,United States
6,CAN,10,18,16,44,1984,United States
7,JPN,10,8,14,32,1984,United States
8,NZL,8,1,2,11,1984,United States
9,YUG,7,4,7,18,1984,United States
10,KOR,6,6,7,19,1984,United States
11,GBR,5,11,21,37,1984,United States
12,FRA,5,7,16,28,1984,United States
13,NED,5,2,6,13,1984,United States
14,AUS,4,8,12,24,1984,United States
15,FIN,4,2,6,12,1984,United States
16,SWE,2,11,6,19,1984,United States
17,MEX,2,3,1,6,1984,United States
18,MAR,2,0,0,2,1984,United States
19,BRA,1,5,2,8,1984,United States
20,ESP,1,2,2,5,1984,United States
21,BEL,1,1,2,4,1984,United States
22,AUT,1,1,1,3,1984,United States
23,KEN,1,0,2,3,1984,United States
23,POR,1,0,2,3,1984,United States
25,PAK,1,0,0,1,1984,United States
26,SUI,0,4,4,8,1984,United States
27,DEN,0,3,3,6,1984,United States
28,JAM,0,1,2,3,1984,United States
28,NOR,0,1,2,3,1984,United States
30,GRE,0,1,1,2,1984,United States
30,NGR,0,1,1,2,1984,United States
30,PUR,0,1,1,2,1984,United States
33,COL,0,1,0,1,1984,United States
33,EGY,0,1,0,1,1984,United States
33,IRL,0,1,0,1,1984,United States
33,CIV,0,1,0,1,1984,United States
33,PER,0,1,0,1,1984,United States
33,SYR,0,1,0,1,1984,United States
33,THA,0,1,0,1,1984,United States
40,TUR,0,0,3,3,1984,United States
40,VEN,0,0,3,3,1984,United States
42,ALG,0,0,2,2,1984,United States
43,CMR,0,0,1,1,1984,United States
43,TPE,0,0,1,1,1984,United States
43,DOM,0,0,1,1,1984,United States
43,ISL,0,0,1,1,1984,United States
43,ZAM,0,0,1,1,1984,United States
1,URS,55,31,46,132,1988,South Korea
2,GDR,37,35,30,102,1988,South Korea
3,USA,36,31,27,94,1988,South Korea
4,KOR,12,10,11,33,1988,South Korea
5,FRG,11,14,15,40,1988,South Korea
6,HUN,11,6,6,23,1988,South Korea
7,BUL,10,12,13,35,1988,South Korea
8,ROU,7,11,6,24,1988,South Korea
9,FRA,6,4,6,16,1988,South Korea
10,ITA,6,4,4,14,1988,South Korea
