Rank,NOC,Gold,Silver,Bronze,Total,Year,host_NOC
9,NED,6,4,7,17,1936,GER
10,AUT,5,7,5,17,1936,GER
11,SUI,4,9,5,18,1936,GER
12,GBR,4,7,3,14,1936,GER
13,CZE,3,5,1,9,1936,GER
14,ARG,2,2,3,7,1936,GER
14,EST,2,2,3,7,1936,GER
16,EGY,2,1,2,5,1936,GER
17,CAN,1,3,5,9,1936,GER
18,NOR,1,3,2,6,1936,GER
19,TUR,1,0,1,2,1936,GER
20,IND,1,0,0,1,1936,GER
20,NZL,1,0,0,1,1936,GER
22,POL,0,4,5,9,1936,GER
23,DEN,0,2,3,5,1936,GER
24,LAT,0,1,1,2,1936,GER
25,ROU,0,1,0,1,1936,GER
25,RSA,0,1,0,1,1936,GER
25,YUG,0,1,0,1,1936,GER
28,BEL,0,0,3,3,1936,GER
28,MEX,0,0,3,3,1936,GER
30,AUS,0,0,1,1,1936,GER
30,PHI,0,0,1,1,1936,GER
30,POR,0,0,1,1,1936,GER
1,USA,38,27,19,84,1948,GBR
2,SWE,16,11,17,44,1948,GBR
3,FRA,10,6,13,29,1948,GBR
4,HUN,10,5,12,27,1948,GBR
5,ITA,8,11,8,27,1948,GBR
6,FIN,8,7,5,20,1948,GBR
7,TUR,6,4,2,12,1948,GBR
8,CZE,6,2,3,11,1948,GBR
9,SUI,5,10,5,20,1948,GBR
10,DEN,5,7,8,20,1948,GBR
11,NED,5,2,9,16,1948,GBR
12,GBR,3,14,6,23,1948,GBR
13,ARG,3,3,1,7,1948,GBR
14,AUS,2,6,5,13,1948,GBR
15,BEL,2,2,3,7,1948,GBR
16,EGY,2,2,1,5,1948,GBR
17,MEX,2,1,2,5,1948,GBR
18,RSA,2,1,1,4,1948,GBR
19,NOR,1,3,3,7,1948,GBR
20,JAM,1,2,0,3,1948,GBR
21,AUT,1,0,3,4,1948,GBR
22,IND,1,0,0,1,1948,GBR
22,PER,1,0,0,1,1948,GBR
24,YUG,0,2,0,2,1948,GBR
25,CAN,0,1,2,3,1948,GBR
26,POR,0,1,1,2,1948,GBR
26,URU,0,1,1,2,1948,GBR
28,Ceylon,0,1,0,1,1948,GBR
28,CUB,0,1,0,1,1948,GBR
28,ESP,0,1,0,1,1948,GBR
28,TTO,0,1,0,1,1948,GBR
32,PAN,0,0,2,2,1948,GBR
32,KOR,0,0,2,2,1948,GBR
34,BRA,0,0,1,1,1948,GBR
34,IRI,0,0,1,1,1948,GBR
34,POL,0,0,1,1,1948,GBR
34,PUR,0,0,1,1,1948,GBR
1,USA,40,19,17,76,1952,FIN
2,URS,22,30,19,71,1952,FIN
3,HUN,16,10,16,42,1952,FIN
4,SWE,12,13,10,35,1952,FIN
5,ITA,8,9,4,21,1952,FIN
6,CZE,7,3,3,13,1952,FIN
7,FRA,6,6,6,18,1952,FIN
8,FIN,6,3,13,22,1952,FIN
9,AUS,6,2,3,11,1952,FIN
10,NOR,3,2,0,5,1952,FIN
11,SUI,2,6,6,14,1952,FIN
12,RSA,2,4,4,10,1952,FIN
13,JAM,2,3,0,5,1952,FIN
14,BEL,2,2,0,4,1952,FIN
15,DEN,2,1,3,6,1952,FIN
16,TUR,2,0,1,3,1952,FIN
17,JPN,1,6,2,9,1952,FIN
18,GBR,1,2,8,11,1952,FIN
19,ARG,1,2,2,5,1952,FIN
20,POL,1,2,1,4,1952,FIN
21,CAN,1,2,0,3,1952,FIN
21,YUG,1,2,0,3,1952,FIN
23,ROU,1,1,2,4,1952,FIN
24,BRA,1,0,2,3,1952,FIN
24,NZL,1,0,2,3,1952,FIN
26,IND,1,0,1,2,1952,FIN
27,LUX,1,0,0,1,1952,FIN
28,GER,0,7,17,24,1952,FIN
29,NED,0,5,0,5,1952,FIN
30,IRI,0,3,4,7,1952,FIN
31,CHI,0,2,0,2,1952,FIN
32,AUT,0,1,1,2,1952,FIN
32,LBN,0,1,1,2,1952,FIN
34,IRL,0,1,0,1,1952,FIN
34,MEX,0,1,0,1,1952,FIN
34,ESP,0,1,0,1,1952,FIN
37,KOR,0,0,2,2,1952,FIN
37,TTO,0,0,2,2,1952,FIN
37,URU,0,0,2,2,1952,FIN
40,BUL,0,0,1,1,1952,FIN
40,EGY,0,0,1,1,1952,FIN
40,POR,0,0,1,1,1952,FIN
40,VEN,0,0,1,1,1952,FIN
1,URS,37,29,32,98,1956,AUS
2,USA,32,25,17,74,1956,AUS
3,AUS,13,8,14,35,1956,AUS
4,HUN,9,10,7,26,1956,AUS
5,ITA,8,8,9,25,1956,AUS
6,SWE,8,5,6,19,1956,AUS
7,EUN,6,13,7,26,1956,AUS
8,GBR,6,7,11,24,1956,AUS
9,ROU,5,3,5,13,1956,AUS
10,JPN,4,10,5,19,1956,AUS
11,FRA,4,4,6,14,1956,AUS
12,TUR,3,2,2,7,1956,AUS
13,FIN,3,1,11,15,1956,AUS
14,IRI,2,2,1,5,1956,AUS
15,CAN,2,1,3,6,1956,AUS
16,NZL,2,0,0,2,1956,AUS
17,POL,1,4,4,9,1956,AUS
18,CZE,1,4,1,6,1956,AUS
19,BUL,1,3,1,5,1956,AUS
20,DEN,1,2,1,4,1956,AUS
21,IRL,1,1,3,5,1956,AUS
22,NOR,1,0,2,3,1956,AUS
23,MEX,1,0,1,2,1956,AUS
24,BRA,1,0,0,1,1956,AUS
24,IND,1,0,0,1,1956,AUS
26,YUG,0,3,0,3,1956,AUS
27,CHI,0,2,2,4,1956,AUS
28,BEL,0,2,0,2,1956,AUS
29,ARG,0,1,1,2,1956,AUS
29,KOR,0,1,1,2,1956,AUS
31,ISL,0,1,0,1,1956,AUS
31,PAK,0,1,0,1,1956,AUS
33,RSA,0,0,4,4,1956,AUS
34,AUT,0,0,2,2,1956,AUS
35,BAH,0,0,1,1,1956,AUS
35,GRE,0,0,1,1,1956,AUS
35,SUI,0,0,1,1,1956,AUS
35,URU,0,0,1,1,1956,AUS
1,URS,43,29,31,103,1960,ITA
2,USA,34,21,16,71,1960,ITA
3,ITA,13,10,13,36,1960,ITA
4,EUN,12,19,11,42,1960,ITA
5,AUS,8,8,6,22,1960,ITA
6,TUR,7,2,0,9,1960,ITA
7,HUN,6,8,7,21,1960,ITA
8,JPN,4,7,7,18,1960,ITA
9,POL,4,6,11,21,1960,ITA
10,CZE,3,2,3,8,1960,ITA
11,ROU,3,1,6,10,1960,ITA
12,GBR,2,6,12,20,1960,ITA
13,DEN,2,3,1,6,1960,ITA
14,NZL,2,0,1,3,1960,ITA
15,BUL,1,3,3,7,1960,ITA
16,SWE,1,2,3,6,1960,ITA
17,FIN,1,1,3,5,1960,ITA
18,AUS,1,1,0,2,1960,ITA
18,YUG,1,1,0,2,1960,ITA
20,PAK,1,0,1,2,1960,ITA
21,ETH,1,0,0,1,1960,ITA
21,GRE,1,0,0,1,1960,ITA
21,NOR,1,0,0,1,1960,ITA
24,SUI,0,3,3,6,1960,ITA
25,FRA,0,2,3,5,1960,ITA
26,BEL,0,2,2,4,1960,ITA
27,IRI,0,1,3,4,1960,ITA
28,NED,0,1,2,3,1960,ITA
28,RSA,0,1,2,3,1960,ITA
30,AFG,0,1,1,2,1960,ITA
30,EGY,0,1,1,2,1960,ITA
32,CAN,0,1,0,1,1960,ITA
32,USA,0,1,0,1,1960,ITA
32,GHA,0,1,0,1,1960,ITA
32,IND,0,1,0,1,1960,ITA
32,MAR,0,1,0,1,1960,ITA
32,POR,0,1,0,1,1960,ITA
32,SGP,0,1,0,1,1960,ITA
39,BRA,0,0,2,2,1960,ITA
39,WIF,0,0,2,2,1960,ITA
41,Iraq ,0,0,1,1,1960,ITA
41,MEX,0,0,1,1,1960,ITA
41,ESP,0,0,1,1,1960,ITA
41,VEN,0,0,1,1,1960,ITA
1,USA,36,26,28,90,1964,JPN
2,URS,30,31,35,96,1964,JPN
3,JPN,16,5,8,29,1964,JPN
4,EUN,10,22,18,50,1964,JPN
5,ITA,10,10,7,27,1964,JPN
6,HUN,10,7,5,22,1964,JPN
7,POL,7,6,10,23,1964,JPN
8,AUS,6,2,10,18,1964,JPN
9,CZE,5,6,3,14,1964,JPN
10,GBR,4,12,2,18,1964,JPN
11,BUL,3,5,2,10,1964,JPN
12,FIN,3,0,2,5,1964,JPN
12,NZL,3,0,2,5,1964,JPN
14,ROU,2,4,6,12,1964,JPN
15,NED,2,4,4,10,1964,JPN
16,TUR,2,3,1,6,1964,JPN
17,SWE,2,2,4,8,1964,JPN
18,DEN,2,1,3,6,1964,JPN
19,YUG,2,1,2,5,1964,JPN
20,BEL,2,0,1,3,1964,JPN
21,FRA,1,8,6,15,1964,JPN
22,CAN,1,2,1,4,1964,JPN
22,SUI,1,2,1,4,1964,JPN
24,BAH,1,0,0,1,1964,JPN
24,ETH,1,0,0,1,1964,JPN
24,IND,1,0,0,1,1964,JPN
27,KOR,0,2,1,3,1964,JPN
28,TTO,0,1,2,3,1964,JPN
29,TUN,0,1,1,2,1964,JPN
30,ARG,0,1,0,1,1964,JPN
30,CUB,0,1,0,1,1964,JPN
30,PAK,0,1,0,1,1964,JPN
30,PHI,0,1,0,1,1964,JPN
34,IRI,0,0,2,2,1964,JPN
35,BRA,0,0,1,1,1964,JPN
35,GHA,0,0,1,1,1964,JPN
35,IRL,0,0,1,1,1964,JPN
35,KEN,0,0,1,1,1964,JPN
35,MEX,0,0,1,1,1964,JPN
35,NGR,0,0,1,1,1964,JPN
35,URU,0,0,1,1,1964,JPN
1,USA,45,28,34,107,1968,MEX
2,URS,29,32,30,91,1968,MEX
3,JPN,11,7,7,25,1968,MEX
4,HUN,10,10,12,32,1968,MEX
5,GDR,9,9,7,25,1968,MEX
6,FRA,7,3,5,15,1968,MEX
7,CZE,7,2,4,13,1968,MEX
8,FRG,5,11,10,26,1968,MEX
9,AUS,5,7,5,17,1968,MEX
10,GBR,5,5,3,13,1968,MEX
11,POL,5,2,11,18,1968,MEX
12,ROU,4,6,5,15,1968,MEX
13,ITA,3,4,9,16,1968,MEX
14,KEN,3,4,2,9,1968,MEX
15,MEX,3,3,3,9,1968,MEX
16,YUG,3,3,2,8,1968,MEX
17,NED,3,3,1,7,1968,MEX
18,BUL,2,4,3,9,1968,MEX
19,IRI,2,1,2,5,1968,MEX
20,SWE,2,1,1,4,1968,MEX
21,TUR,2,0,0,2,1968,MEX
22,DEN,1,4,3,8,1968,MEX
23,CAN,1,3,1,5,1968,MEX
24,FIN,1,2,1,4,1968,MEX
25,ETH,1,1,0,2,1968,MEX
25,NOR,1,1,0,2,1968,MEX
27,NZL,1,0,2,3,1968,MEX
28,TUN,1,0,1,2,1968,MEX
29,PAK,1,0,0,1,1968,MEX
29,VEN,1,0,0,1,1968,MEX
31,CUB,0,4,0,4,1968,MEX
32,AUT,0,2,2,4,1968,MEX
33,SUI,0,1,4,5,1968,MEX
34,MGL,0,1,3,4,1968,MEX
35,BRA,0,1,2,3,1968,MEX
36,BEL,0,1,1,2,1968,MEX
36,KOR,0,1,1,2,1968,MEX
36,UGA,0,1,1,2,1968,MEX
39,CMR,0,1,0,1,1968,MEX
39,JAM,0,1,0,1,1968,MEX
41,ARG,0,0,2,2,1968,MEX
42,GRE,0,0,1,1,1968,MEX
42,IND,0,0,1,1,1968,MEX
42,Taiwan,0,0,1,1,1968,MEX
1,URS,50,27,22,99,1972,GER
2,USA,33,31,30,94,1972,GER
3,GDR,20,23,23,66,1972,GER
4,FRG,13,11,16,40,1972,GER
5,JPN,13,8,8,29,1972,GER
6,AUS,8,7,2,17,1972,GER
7,POL,7,5,9,21,1972,GER
8,HUN,6,13,16,35,1972,GER
9,BUL,6,10,5,21,1972,GER
10,ITA,5,3,10,18,1972,GER
11,SWE,4,6,6,16,1972,GER
12,GBR,4,5,9,18,1972,GER
13,ROU,3,6,7,16,1972,GER
14,CUB,3,1,4,8,1972,GER
14,FIN,3,1,4,8,1972,GER
16,NED,3,1,1,5,1972,GER
17,FRA,2,4,7,13,1972,GER
18,CZE,2,4,2,8,1972,GER
19,KEN,2,3,4,9,1972,GER
20,YUG,2,1,2,5,1972,GER
21,NOR,2,1,1,4,1972,GER
22,PRK,1,1,3,5,1972,GER
23,NZL,1,1,1,3,1972,GER
24,UGA,1,1,0,2,1972,GER
25,DEN,1,0,0,1,1972,GER
26,SUI,0,3,0,3,1972,GER
27,CAN,0,2,3,5,1972,GER
28,IRI,0,2,1,3,1972,GER
29,BEL,0,2,0,2,1972,GER
29,GRE,0,2,0,2,1972,GER
31,AUT,0,1,2,3,1972,GER
31,COL,0,1,2,3,1972,GER
33,ARG,0,1,0,1,1972,GER
33,LBN,0,1,0,1,1972,GER
33,MEX,0,1,0,1,1972,GER
33,MGL,0,1,0,1,1972,GER
33,PAK,0,1,0,1,1972,GER
33,KOR,0,1,0,1,1972,GER
33,TUN,0,1,0,1,1972,GER
33,TUR,0,1,0,1,1972,GER
41,BRA,0,0,2,2,1972,GER
41,ETH,0,0,2,2,1972,GER
43,GHA,0,0,1,1,1972,GER
43,IND,0,0,1,1,1972,GER
43,JAM,0,0,1,1,1972,GER
43,NIG,0,0,1,1,1972,GER
43,NGR,0,0,1,1,1972,GER
43,ESP,0,0,1,1,1972,GER
1,URS,49,41,35,125,1976,CAN
2,GDR,40,25,25,90,1976,CAN
3,USA,34,35,25,94,1976,CAN
4,FRG,10,12,17,39,1976,CAN
5,JPN,9,6,10,25,1976,CAN
6,POL,7,6,13,26,1976,CAN
7,BUL,6,9,7,22,1976,CAN
8,CUB,6,4,3,13,1976,CAN
9,ROU,4,9,14,27,1976,CAN
10,HUN,4,5,13,22,1976,CAN
11,FIN,4,2,0,6,1976,CAN
12,SWE,4,1,0,5,1976,CAN
13,GBR,3,5,5,13,1976,CAN
14,ITA,2,7,4,13,1976,CAN
15,FRA,2,3,4,9,1976,CAN
16,YUG,2,3,3,8,1976,CAN
17,CZE,2,2,4,8,1976,CAN
18,NZL,2,1,1,4,1976,CAN
19,KOR,1,1,4,6,1976,CAN
20,SUI,1,1,2,4,1976,CAN
21,JAM,1,1,0,2,1976,CAN
21,PRK,1,1,0,2,1976,CAN
21,NOR,1,1,0,2,1976,CAN
24,DEN,1,0,2,3,1976,CAN
25,MEX,1,0,1,2,1976,CAN
26,TTO,1,0,0,1,1976,CAN
27,CAN,0,5,6,11,1976,CAN
28,BEL,0,3,3,6,1976,CAN
29,NED,0,2,3,5,1976,CAN
30,POR,0,2,0,2,1976,CAN
30,ESP,0,2,0,2,1976,CAN
32,AUS,0,1,4,5,1976,CAN
33,IRI,0,1,1,2,1976,CAN
34,MGL,0,1,0,1,1976,CAN
34,VEN,0,1,0,1,1976,CAN
36,BRA,0,0,2,2,1976,CAN
37,AUT,0,0,1,1,1976,CAN
37,BER,0,0,1,1,1976,CAN
37,PAK,0,0,1,1,1976,CAN
37,PUR,0,0,1,1,1976,CAN
37,THA,0,0,1,1,1976,CAN
1,URS,80,69,46,195,1980,URS
2,GDR,47,37,42,126,1980,URS
3,BUL,8,16,17,41,1980,URS
4,CUB,8,7,5,20,1980,URS
5,ITA,8,3,4,15,1980,URS
6,HUN,7,10,15,32,1980,URS
7,ROU,6,6,13,25,1980,URS
8,FRA,6,5,3,14,1980,URS
9,GBR,5,7,9,21,1980,URS
10,POL,3,14,15,32,1980,URS
11,SWE,3,3,6,12,1980,URS
12,FIN,3,1,4,8,1980,URS
13,CZE,2,3,9,14,1980,URS
14,YUG,2,3,4,9,1980,URS
15,AUS,2,2,5,9,1980,URS
16,DEN,2,1,2,5,1980,URS
17,BRA,2,0,2,4,1980,URS
17,ETH,2,0,2,4,1980,URS
19,SUI,2,0,0,2,1980,URS
20,ESP,1,3,2,6,1980,URS
21,AUT,1,2,1,4,1980,URS
22,GRE,1,0,2,3,1980,URS
23,BEL,1,0,0,1,1980,URS
23,IND,1,0,0,1,1980,URS
23,ZIM,1,0,0,1,1980,URS
26,PRK,0,3,2,5,1980,URS
27,MGL,0,2,2,4,1980,URS
28,TAN,0,2,0,2,1980,URS
29,MEX,0,1,3,4,1980,URS
30,NED,0,1,2,3,1980,URS
31,IRL,0,1,1,2,1980,URS
32,UGA,0,1,0,1,1980,URS
32,VEN,0,1,0,1,1980,URS
34,JAM,0,0,3,3,1980,URS
35,GUY,0,0,1,1,1980,URS
35,LBN,0,0,1,1,1980,URS
1,USA,83,61,30,174,1984,USA
2,ROU,20,16,17,53,1984,USA
3,FRG,17,19,23,59,1984,USA
4,CHN,15,8,9,32,1984,USA
5,ITA,14,6,12,32,1984,USA
6,CAN,10,18,16,44,1984,USA
7,JPN,10,8,14,32,1984,USA
8,NZL,8,1,2,11,1984,USA
9,YUG,7,4,7,18,1984,USA
10,KOR,6,6,7,19,1984,USA
11,GBR,5,11,21,37,1984,USA
12,FRA,5,7,16,28,1984,USA
13,NED,5,2,6,13,1984,USA
14,AUS,4,8,12,24,1984,USA
15,FIN,4,2,6,12,1984,USA
16,SWE,2,11,6,19,1984,USA
17,MEX,2,3,1,6,1984,USA
18,MAR,2,0,0,2,1984,USA
19,BRA,1,5,2,8,1984,USA
20,ESP,1,2,2,5,1984,USA
21,BEL,1,1,2,4,1984,USA
22,AUT,1,1,1,3,1984,USA
23,KEN,1,0,2,3,1984,USA
23,POR,1,0,2,3,1984,USA
25,PAK,1,0,0,1,1984,USA
26,SUI,0,4,4,8,1984,USA
27,DEN,0,3,3,6,1984,USA
28,JAM,0,1,2,3,1984,USA
28,NOR,0,1,2,3,1984,USA
30,GRE,0,1,1,2,1984,USA
30,NGR,0,1,1,2,1984,USA
30,PUR,0,1,1,2,1984,USA
33,COL,0,1,0,1,1984,USA
33,EGY,0,1,0,1,1984,USA
33,IRL,0,1,0,1,1984,USA
33,CIV,0,1,0,1,1984,USA
33,PER,0,1,0,1,1984,USA
33,SYR,0,1,0,1,1984,USA
33,THA,0,1,0,1,1984,USA
40,TUR,0,0,3,3,1984,USA
40,VEN,0,0,3,3,1984,USA
42,ALG,0,0,2,2,1984,USA
43,CMR,0,0,1,1,1984,USA
43,TPE,0,0,1,1,1984,USA
43,DOM,0,0,1,1,1984,USA
43,ISL,0,0,1,1,1984,USA
43,ZAM,0,0,1,1,1984,USA
1,URS,55,31,46,132,1988,KOR
2,GDR,37,35,30,102,1988,KOR
3,USA,36,31,27,94,1988,KOR
4,KOR,12,10,11,33,1988,KOR
5,FRG,11,14,15,40,1988,KOR
6,HUN,11,6,6,23,1988,KOR
7,BUL,10,12,13,35,1988,KOR
8,ROU,7,11,6,24,1988,KOR
9,FRA,6,4,6,16,1988,KOR
10,ITA,6,4,4,14,1988,KOR
11,CHN,5,11,12,28,1988,KOR
12,GBR,5,10,9,24,1988,KOR
13,KEN,5,2,2,9,1988,KOR
14,JPN,4,3,7,14,1988,KOR
15,AUS,3,6,5,14,1988,KOR
16,YUG,3,4,5,12,1988,KOR
17,CZE,3,3,2,8,1988,KOR
18,NZL,3,2,8,13,1988,KOR
19,CAN,3,2,5,10,1988,KOR
20,POL,2,5,9,16,1988,KOR
21,NOR,2,3,0,5,1988,KOR
22,NED,2,2,5,9,1988,KOR
23,DEN,2,1,1,4,1988,KOR
24,BRA,1,2,3,6,1988,KOR
25,FIN,1,1,2,4,1988,KOR
25,ESP,1,1,2,4,1988,KOR
27,TUR,1,1,0,2,1988,KOR
28,MAR,1,0,2,3,1988,KOR
29,AUT,1,0,0,1,1988,KOR
29,POR,1,0,0,1,1988,KOR
29,SUR,1,0,0,1,1988,KOR
32,SWE,0,4,7,11,1988,KOR
33,SUI,0,2,2,4,1988,KOR
34,JAM,0,2,0,2,1988,KOR
35,ARG,0,1,1,2,1988,KOR
36,CHI,0,1,0,1,1988,KOR
