,Sport,Discipline,Code,excel_country,Count,csv_country,Rank,NOC,Gold,Silver,Bronze,Total,Year,HostCountry
37,,,,,,,42,ARM,1,3,0,4,2016,Brazil
38,,,,,,,69,ARM,0,2,2,4,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
39,,,,,,,66,ARM,0,3,1,4,2024,France
40,Aquatics,Artistic Swimming,SWA,Australia,0,AUS,8,AUS,2,0,0,2,1896,Greece
41,Aquatics,Artistic Swimming,SWA,Australia,0,AUS,9,AUS,2,0,3,5,1900,France
42,Aquatics,Artistic Swimming,SWA,Australia,0,AUS,12,AUS,0,3,1,4,1904,United States
43,Aquatics,Artistic Swimming,SWA,Australia,0,AUS,11,AUS,1,2,2,5,1908,United Kingdom
44,Aquatics,Artistic Swimming,SWA,Australia,0,AUS,12,AUS,2,2,3,7,1912,Sweden
45,Aquatics,Artistic Swimming,SWA,Australia,0,AUS,16,AUS,0,2,1,3,1920,Belgium
46,Aquatics,Artistic Swimming,SWA,Australia,0,AUS,11,AUS,3,1,2,6,1924,France
47,Aquatics,Artistic Swimming,SWA,Australia,0,AUS,19,AUS,1,2,1,4,1928,Netherlands
48,Aquatics,Artistic Swimming,SWA,Australia,0,AUS,11,AUS,3,1,1,5,1932,United States
49,Aquatics,Artistic Swimming,SWA,Australia,0,AUS,18,AUS,1,1,3,5,1932,United States
50,Aquatics,Artistic Swimming,SWA,Australia,0,AUS,30,AUS,0,0,1,1,1936,Germany
51,Aquatics,Artistic Swimming,SWA,Australia,0,AUS,14,AUS,2,6,5,13,1948,United Kingdom
52,Aquatics,Artistic Swimming,SWA,Australia,0,AUS,9,AUS,6,2,3,11,1952,Finland
53,Aquatics,Artistic Swimming,SWA,Australia,0,AUS,3,AUS,13,8,14,35,1956,Australia
54,Aquatics,Artistic Swimming,SWA,Australia,0,AUS,5,AUS,8,8,6,22,1960,Italy
55,Aquatics,Artistic Swimming,SWA,Australia,0,AUS,18,AUS,1,1,0,2,1960,Italy
56,Aquatics,Artistic Swimming,SWA,Australia,0,AUS,8,AUS,6,2,10,18,1964,Japan
57,Aquatics,Artistic Swimming,SWA,Australia,0,AUS,9,AUS,5,7,5,17,1968,Mexico
58,Aquatics,Artistic Swimming,SWA,Australia,0,AUS,6,AUS,8,7,2,17,1972,West Germany
59,Aquatics,Artistic Swimming,SWA,Australia,0,AUS,32,AUS,0,1,4,5,1976,Canada
60,Aquatics,Artistic Swimming,SWA,Australia,0,AUS,15,AUS,2,2,5,9,1980,Soviet Union
61,Aquatics,Artistic Swimming,SWA,Australia,0,AUS,14,AUS,4,8,12,24,1984,United States
62,Aquatics,Artistic Swimming,SWA,Australia,0,AUS,15,AUS,3,6,5,14,1988,South Korea
63,Aquatics,Artistic Swimming,SWA,Australia,0,AUS,10,AUS,7,9,11,27,1992,Spain
64,Aquatics,Artistic Swimming,SWA,Australia,0,AUS,7,AUS,9,9,23,41,1996,United States
65,Aquatics,Artistic Swimming,SWA,Australia,0,AUS,4,AUS,16,25,17,58,2000,Australia
66,Aquatics,Artistic Swimming,SWA,Australia,0,AUS,4,AUS,17,16,17,50,2004,Greece
67,Aquatics,Artistic Swimming,SWA,Australia,0,AUS,6,AUS,14,15,17,46,2008,China
68,Aquatics,Artistic Swimming,SWA,Australia,0,AUS,8,AUS,8,15,12,35,2012,United Kingdom
69,Aquatics,Artistic Swimming,SWA,Australia,0,AUS,10,AUS,8,11,10,29,2016,Brazil
70,Aquatics,Artistic Swimming,SWA,Australia,0,AUS,6,AUS,17,7,22,46,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
71,Aquatics,Artistic Swimming,SWA,Australia,0,AUS,4,AUS,18,19,16,53,2024,France
72,Aquatics,Diving,DIV,Australia,4,AUS,8,AUS,2,0,0,2,1896,Greece
73,Aquatics,Diving,DIV,Australia,4,AUS,9,AUS,2,0,3,5,1900,France
74,Aquatics,Diving,DIV,Australia,4,AUS,12,AUS,0,3,1,4,1904,United States
75,Aquatics,Diving,DIV,Australia,4,AUS,11,AUS,1,2,2,5,1908,United Kingdom
76,Aquatics,Diving,DIV,Australia,4,AUS,12,AUS,2,2,3,7,1912,Sweden
77,Aquatics,Diving,DIV,Australia,4,AUS,16,AUS,0,2,1,3,1920,Belgium
78,Aquatics,Diving,DIV,Australia,4,AUS,11,AUS,3,1,2,6,1924,France
79,Aquatics,Diving,DIV,Australia,4,AUS,19,AUS,1,2,1,4,1928,Netherlands
80,Aquatics,Diving,DIV,Australia,4,AUS,11,AUS,3,1,1,5,1932,United States
81,Aquatics,Diving,DIV,Australia,4,AUS,18,AUS,1,1,3,5,1932,United States
82,Aquatics,Diving,DIV,Australia,4,AUS,30,AUS,0,0,1,1,1936,Germany
83,Aquatics,Diving,DIV,Australia,4,AUS,14,AUS,2,6,5,13,1948,United Kingdom
84,Aquatics,Diving,DIV,Australia,4,AUS,9,AUS,6,2,3,11,1952,Finland
85,Aquatics,Diving,DIV,Australia,4,AUS,3,AUS,13,8,14,35,1956,Australia
86,Aquatics,Diving,DIV,Australia,4,AUS,5,AUS,8,8,6,22,1960,Italy
87,Aquatics,Diving,DIV,Australia,4,AUS,18,AUS,1,1,0,2,1960,Italy
88,Aquatics,Diving,DIV,Australia,4,AUS,8,AUS,6,2,10,18,1964,Japan
89,Aquatics,Diving,DIV,Australia,4,AUS,9,AUS,5,7,5,17,1968,Mexico
90,Aquatics,Diving,DIV,Australia,4,AUS,6,AUS,8,7,2,17,1972,West Germany
91,Aquatics,Diving,DIV,Australia,4,AUS,32,AUS,0,1,4,5,1976,Canada
92,Aquatics,Diving,DIV,Australia,4,AUS,15,AUS,2,2,5,9,1980,Soviet Union
93,Aquatics,Diving,DIV,Australia,4,AUS,14,AUS,4,8,12,24,1984,United States
94,Aquatics,Diving,DIV,Australia,4,AUS,15,AUS,3,6,5,14,1988,South Korea
95,Aquatics,Diving,DIV,Australia,4,AUS,10,AUS,7,9,11,27,1992,Spain
96,Aquatics,Diving,DIV,Australia,4,AUS,7,AUS,9,9,23,41,1996,United States
97,Aquatics,Diving,DIV,Australia,4,AUS,4,AUS,16,25,17,58,2000,Australia
98,Aquatics,Diving,DIV,Australia,4,AUS,4,AUS,17,16,17,50,2004,Greece
99,Aquatics,Diving,DIV,Australia,4,AUS,6,AUS,14,15,17,46,2008,China
100,Aquatics,Diving,DIV,Australia,4,AUS,8,AUS,8,15,12,35,2012,United Kingdom
101,Aquatics,Diving,DIV,Australia,4,AUS,10,AUS,8,11,10,29,2016,Brazil
102,Aquatics,Diving,DIV,Australia,4,AUS,6,AUS,17,7,22,46,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
103,Aquatics,Diving,DIV,Australia,4,AUS,4,AUS,18,19,16,53,2024,France
104,Aquatics,Marathon Swimming,OWS,Australia,0,AUS,8,AUS,2,0,0,2,1896,Greece
105,Aquatics,Marathon Swimming,OWS,Australia,0,AUS,9,AUS,2,0,3,5,1900,France
106,Aquatics,Marathon Swimming,OWS,Australia,0,AUS,12,AUS,0,3,1,4,1904,United States
107,Aquatics,Marathon Swimming,OWS,Australia,0,AUS,11,AUS,1,2,2,5,1908,United Kingdom
108,Aquatics,Marathon Swimming,OWS,Australia,0,AUS,12,AUS,2,2,3,7,1912,Sweden
109,Aquatics,Marathon Swimming,OWS,Australia,0,AUS,16,AUS,0,2,1,3,1920,Belgium
110,Aquatics,Marathon Swimming,OWS,Australia,0,AUS,11,AUS,3,1,2,6,1924,France
111,Aquatics,Marathon Swimming,OWS,Australia,0,AUS,19,AUS,1,2,1,4,1928,Netherlands
112,Aquatics,Marathon Swimming,OWS,Australia,0,AUS,11,AUS,3,1,1,5,1932,United States
113,Aquatics,Marathon Swimming,OWS,Australia,0,AUS,18,AUS,1,1,3,5,1932,United States
114,Aquatics,Marathon Swimming,OWS,Australia,0,AUS,30,AUS,0,0,1,1,1936,Germany
115,Aquatics,Marathon Swimming,OWS,Australia,0,AUS,14,AUS,2,6,5,13,1948,United Kingdom
116,Aquatics,Marathon Swimming,OWS,Australia,0,AUS,9,AUS,6,2,3,11,1952,Finland
117,Aquatics,Marathon Swimming,OWS,Australia,0,AUS,3,AUS,13,8,14,35,1956,Australia
118,Aquatics,Marathon Swimming,OWS,Australia,0,AUS,5,AUS,8,8,6,22,1960,Italy
119,Aquatics,Marathon Swimming,OWS,Australia,0,AUS,18,AUS,1,1,0,2,1960,Italy
120,Aquatics,Marathon Swimming,OWS,Australia,0,AUS,8,AUS,6,2,10,18,1964,Japan
121,Aquatics,Marathon Swimming,OWS,Australia,0,AUS,9,AUS,5,7,5,17,1968,Mexico
122,Aquatics,Marathon Swimming,OWS,Australia,0,AUS,6,AUS,8,7,2,17,1972,West Germany
123,Aquatics,Marathon Swimming,OWS,Australia,0,AUS,32,AUS,0,1,4,5,1976,Canada
124,Aquatics,Marathon Swimming,OWS,Australia,0,AUS,15,AUS,2,2,5,9,1980,Soviet Union
125,Aquatics,Marathon Swimming,OWS,Australia,0,AUS,14,AUS,4,8,12,24,1984,United States
126,Aquatics,Marathon Swimming,OWS,Australia,0,AUS,15,AUS,3,6,5,14,1988,South Korea
127,Aquatics,Marathon Swimming,OWS,Australia,0,AUS,10,AUS,7,9,11,27,1992,Spain
128,Aquatics,Marathon Swimming,OWS,Australia,0,AUS,7,AUS,9,9,23,41,1996,United States
129,Aquatics,Marathon Swimming,OWS,Australia,0,AUS,4,AUS,16,25,17,58,2000,Australia
130,Aquatics,Marathon Swimming,OWS,Australia,0,AUS,4,AUS,17,16,17,50,2004,Greece
131,Aquatics,Marathon Swimming,OWS,Australia,0,AUS,6,AUS,14,15,17,46,2008,China
132,Aquatics,Marathon Swimming,OWS,Australia,0,AUS,8,AUS,8,15,12,35,2012,United Kingdom
133,Aquatics,Marathon Swimming,OWS,Australia,0,AUS,10,AUS,8,11,10,29,2016,Brazil
134,Aquatics,Marathon Swimming,OWS,Australia,0,AUS,6,AUS,17,7,22,46,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
135,Aquatics,Marathon Swimming,OWS,Australia,0,AUS,4,AUS,18,19,16,53,2024,France
136,Aquatics,Swimming,SWM,Australia,13,AUS,8,AUS,2,0,0,2,1896,Greece
137,Aquatics,Swimming,SWM,Australia,13,AUS,9,AUS,2,0,3,5,1900,France
138,Aquatics,Swimming,SWM,Australia,13,AUS,12,AUS,0,3,1,4,1904,United States
139,Aquatics,Swimming,SWM,Australia,13,AUS,11,AUS,1,2,2,5,1908,United Kingdom
140,Aquatics,Swimming,SWM,Australia,13,AUS,12,AUS,2,2,3,7,1912,Sweden
141,Aquatics,Swimming,SWM,Australia,13,AUS,16,AUS,0,2,1,3,1920,Belgium
142,Aquatics,Swimming,SWM,Australia,13,AUS,11,AUS,3,1,2,6,1924,France
143,Aquatics,Swimming,SWM,Australia,13,AUS,19,AUS,1,2,1,4,1928,Netherlands
144,Aquatics,Swimming,SWM,Australia,13,AUS,11,AUS,3,1,1,5,1932,United States
145,Aquatics,Swimming,SWM,Australia,13,AUS,18,AUS,1,1,3,5,1932,United States
146,Aquatics,Swimming,SWM,Australia,13,AUS,30,AUS,0,0,1,1,1936,Germany
147,Aquatics,Swimming,SWM,Australia,13,AUS,14,AUS,2,6,5,13,1948,United Kingdom
148,Aquatics,Swimming,SWM,Australia,13,AUS,9,AUS,6,2,3,11,1952,Finland
149,Aquatics,Swimming,SWM,Australia,13,AUS,3,AUS,13,8,14,35,1956,Australia
150,Aquatics,Swimming,SWM,Australia,13,AUS,5,AUS,8,8,6,22,1960,Italy
151,Aquatics,Swimming,SWM,Australia,13,AUS,18,AUS,1,1,0,2,1960,Italy
152,Aquatics,Swimming,SWM,Australia,13,AUS,8,AUS,6,2,10,18,1964,Japan
153,Aquatics,Swimming,SWM,Australia,13,AUS,9,AUS,5,7,5,17,1968,Mexico
154,Aquatics,Swimming,SWM,Australia,13,AUS,6,AUS,8,7,2,17,1972,West Germany
155,Aquatics,Swimming,SWM,Australia,13,AUS,32,AUS,0,1,4,5,1976,Canada
156,Aquatics,Swimming,SWM,Australia,13,AUS,15,AUS,2,2,5,9,1980,Soviet Union
157,Aquatics,Swimming,SWM,Australia,13,AUS,14,AUS,4,8,12,24,1984,United States
158,Aquatics,Swimming,SWM,Australia,13,AUS,15,AUS,3,6,5,14,1988,South Korea
159,Aquatics,Swimming,SWM,Australia,13,AUS,10,AUS,7,9,11,27,1992,Spain
160,Aquatics,Swimming,SWM,Australia,13,AUS,7,AUS,9,9,23,41,1996,United States
161,Aquatics,Swimming,SWM,Australia,13,AUS,4,AUS,16,25,17,58,2000,Australia
162,Aquatics,Swimming,SWM,Australia,13,AUS,4,AUS,17,16,17,50,2004,Greece
163,Aquatics,Swimming,SWM,Australia,13,AUS,6,AUS,14,15,17,46,2008,China
164,Aquatics,Swimming,SWM,Australia,13,AUS,8,AUS,8,15,12,35,2012,United Kingdom
165,Aquatics,Swimming,SWM,Australia,13,AUS,10,AUS,8,11,10,29,2016,Brazil
166,Aquatics,Swimming,SWM,Australia,13,AUS,6,AUS,17,7,22,46,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
167,Aquatics,Swimming,SWM,Australia,13,AUS,4,AUS,18,19,16,53,2024,France
168,Aquatics,Water Polo,WPO,Australia,1,AUS,8,AUS,2,0,0,2,1896,Greece
169,Aquatics,Water Polo,WPO,Australia,1,AUS,9,AUS,2,0,3,5,1900,France
170,Aquatics,Water Polo,WPO,Australia,1,AUS,12,AUS,0,3,1,4,1904,United States
171,Aquatics,Water Polo,WPO,Australia,1,AUS,11,AUS,1,2,2,5,1908,United Kingdom
172,Aquatics,Water Polo,WPO,Australia,1,AUS,12,AUS,2,2,3,7,1912,Sweden
173,Aquatics,Water Polo,WPO,Australia,1,AUS,16,AUS,0,2,1,3,1920,Belgium
174,Aquatics,Water Polo,WPO,Australia,1,AUS,11,AUS,3,1,2,6,1924,France
175,Aquatics,Water Polo,WPO,Australia,1,AUS,19,AUS,1,2,1,4,1928,Netherlands
176,Aquatics,Water Polo,WPO,Australia,1,AUS,11,AUS,3,1,1,5,1932,United States
177,Aquatics,Water Polo,WPO,Australia,1,AUS,18,AUS,1,1,3,5,1932,United States
178,Aquatics,Water Polo,WPO,Australia,1,AUS,30,AUS,0,0,1,1,1936,Germany
179,Aquatics,Water Polo,WPO,Australia,1,AUS,14,AUS,2,6,5,13,1948,United Kingdom
180,Aquatics,Water Polo,WPO,Australia,1,AUS,9,AUS,6,2,3,11,1952,Finland
181,Aquatics,Water Polo,WPO,Australia,1,AUS,3,AUS,13,8,14,35,1956,Australia
182,Aquatics,Water Polo,WPO,Australia,1,AUS,5,AUS,8,8,6,22,1960,Italy
183,Aquatics,Water Polo,WPO,Australia,1,AUS,18,AUS,1,1,0,2,1960,Italy
184,Aquatics,Water Polo,WPO,Australia,1,AUS,8,AUS,6,2,10,18,1964,Japan
185,Aquatics,Water Polo,WPO,Australia,1,AUS,9,AUS,5,7,5,17,1968,Mexico
186,Aquatics,Water Polo,WPO,Australia,1,AUS,6,AUS,8,7,2,17,1972,West Germany
187,Aquatics,Water Polo,WPO,Australia,1,AUS,32,AUS,0,1,4,5,1976,Canada
188,Aquatics,Water Polo,WPO,Australia,1,AUS,15,AUS,2,2,5,9,1980,Soviet Union
189,Aquatics,Water Polo,WPO,Australia,1,AUS,14,AUS,4,8,12,24,1984,United States
190,Aquatics,Water Polo,WPO,Australia,1,AUS,15,AUS,3,6,5,14,1988,South Korea
191,Aquatics,Water Polo,WPO,Australia,1,AUS,10,AUS,7,9,11,27,1992,Spain
192,Aquatics,Water Polo,WPO,Australia,1,AUS,7,AUS,9,9,23,41,1996,United States
193,Aquatics,Water Polo,WPO,Australia,1,AUS,4,AUS,16,25,17,58,2000,Australia
194,Aquatics,Water Polo,WPO,Australia,1,AUS,4,AUS,17,16,17,50,2004,Greece
195,Aquatics,Water Polo,WPO,Australia,1,AUS,6,AUS,14,15,17,46,2008,China
196,Aquatics,Water Polo,WPO,Australia,1,AUS,8,AUS,8,15,12,35,2012,United Kingdom
197,Aquatics,Water Polo,WPO,Australia,1,AUS,10,AUS,8,11,10,29,2016,Brazil
198,Aquatics,Water Polo,WPO,Australia,1,AUS,6,AUS,17,7,22,46,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
199,Aquatics,Water Polo,WPO,Australia,1,AUS,4,AUS,18,19,16,53,2024,France
200,Archery,Archery,ARC,Australia,0,AUS,8,AUS,2,0,0,2,1896,Greece
201,Archery,Archery,ARC,Australia,0,AUS,9,AUS,2,0,3,5,1900,France
202,Archery,Archery,ARC,Australia,0,AUS,12,AUS,0,3,1,4,1904,United States
203,Archery,Archery,ARC,Australia,0,AUS,11,AUS,1,2,2,5,1908,United Kingdom
204,Archery,Archery,ARC,Australia,0,AUS,12,AUS,2,2,3,7,1912,Sweden
205,Archery,Archery,ARC,Australia,0,AUS,16,AUS,0,2,1,3,1920,Belgium
206,Archery,Archery,ARC,Australia,0,AUS,11,AUS,3,1,2,6,1924,France
207,Archery,Archery,ARC,Australia,0,AUS,19,AUS,1,2,1,4,1928,Netherlands
208,Archery,Archery,ARC,Australia,0,AUS,11,AUS,3,1,1,5,1932,United States
209,Archery,Archery,ARC,Australia,0,AUS,18,AUS,1,1,3,5,1932,United States
210,Archery,Archery,ARC,Australia,0,AUS,30,AUS,0,0,1,1,1936,Germany
211,Archery,Archery,ARC,Australia,0,AUS,14,AUS,2,6,5,13,1948,United Kingdom
212,Archery,Archery,ARC,Australia,0,AUS,9,AUS,6,2,3,11,1952,Finland
213,Archery,Archery,ARC,Australia,0,AUS,3,AUS,13,8,14,35,1956,Australia
214,Archery,Archery,ARC,Australia,0,AUS,5,AUS,8,8,6,22,1960,Italy
215,Archery,Archery,ARC,Australia,0,AUS,18,AUS,1,1,0,2,1960,Italy
216,Archery,Archery,ARC,Australia,0,AUS,8,AUS,6,2,10,18,1964,Japan
217,Archery,Archery,ARC,Australia,0,AUS,9,AUS,5,7,5,17,1968,Mexico
218,Archery,Archery,ARC,Australia,0,AUS,6,AUS,8,7,2,17,1972,West Germany
219,Archery,Archery,ARC,Australia,0,AUS,32,AUS,0,1,4,5,1976,Canada
220,Archery,Archery,ARC,Australia,0,AUS,15,AUS,2,2,5,9,1980,Soviet Union
221,Archery,Archery,ARC,Australia,0,AUS,14,AUS,4,8,12,24,1984,United States
222,Archery,Archery,ARC,Australia,0,AUS,15,AUS,3,6,5,14,1988,South Korea
223,Archery,Archery,ARC,Australia,0,AUS,10,AUS,7,9,11,27,1992,Spain
224,Archery,Archery,ARC,Australia,0,AUS,7,AUS,9,9,23,41,1996,United States
225,Archery,Archery,ARC,Australia,0,AUS,4,AUS,16,25,17,58,2000,Australia
226,Archery,Archery,ARC,Australia,0,AUS,4,AUS,17,16,17,50,2004,Greece
227,Archery,Archery,ARC,Australia,0,AUS,6,AUS,14,15,17,46,2008,China
228,Archery,Archery,ARC,Australia,0,AUS,8,AUS,8,15,12,35,2012,United Kingdom
229,Archery,Archery,ARC,Australia,0,AUS,10,AUS,8,11,10,29,2016,Brazil
230,Archery,Archery,ARC,Australia,0,AUS,6,AUS,17,7,22,46,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
231,Archery,Archery,ARC,Australia,0,AUS,4,AUS,18,19,16,53,2024,France
232,Athletics,Athletics,ATH,Australia,33,AUS,8,AUS,2,0,0,2,1896,Greece
233,Athletics,Athletics,ATH,Australia,33,AUS,9,AUS,2,0,3,5,1900,France
234,Athletics,Athletics,ATH,Australia,33,AUS,12,AUS,0,3,1,4,1904,United States
235,Athletics,Athletics,ATH,Australia,33,AUS,11,AUS,1,2,2,5,1908,United Kingdom
236,Athletics,Athletics,ATH,Australia,33,AUS,12,AUS,2,2,3,7,1912,Sweden
237,Athletics,Athletics,ATH,Australia,33,AUS,16,AUS,0,2,1,3,1920,Belgium
238,Athletics,Athletics,ATH,Australia,33,AUS,11,AUS,3,1,2,6,1924,France
239,Athletics,Athletics,ATH,Australia,33,AUS,19,AUS,1,2,1,4,1928,Netherlands
240,Athletics,Athletics,ATH,Australia,33,AUS,11,AUS,3,1,1,5,1932,United States
241,Athletics,Athletics,ATH,Australia,33,AUS,18,AUS,1,1,3,5,1932,United States
242,Athletics,Athletics,ATH,Australia,33,AUS,30,AUS,0,0,1,1,1936,Germany
243,Athletics,Athletics,ATH,Australia,33,AUS,14,AUS,2,6,5,13,1948,United Kingdom
244,Athletics,Athletics,ATH,Australia,33,AUS,9,AUS,6,2,3,11,1952,Finland
245,Athletics,Athletics,ATH,Australia,33,AUS,3,AUS,13,8,14,35,1956,Australia
246,Athletics,Athletics,ATH,Australia,33,AUS,5,AUS,8,8,6,22,1960,Italy
247,Athletics,Athletics,ATH,Australia,33,AUS,18,AUS,1,1,0,2,1960,Italy
248,Athletics,Athletics,ATH,Australia,33,AUS,8,AUS,6,2,10,18,1964,Japan
249,Athletics,Athletics,ATH,Australia,33,AUS,9,AUS,5,7,5,17,1968,Mexico
250,Athletics,Athletics,ATH,Australia,33,AUS,6,AUS,8,7,2,17,1972,West Germany
251,Athletics,Athletics,ATH,Australia,33,AUS,32,AUS,0,1,4,5,1976,Canada
252,Athletics,Athletics,ATH,Australia,33,AUS,15,AUS,2,2,5,9,1980,Soviet Union
253,Athletics,Athletics,ATH,Australia,33,AUS,14,AUS,4,8,12,24,1984,United States
254,Athletics,Athletics,ATH,Australia,33,AUS,15,AUS,3,6,5,14,1988,South Korea
255,Athletics,Athletics,ATH,Australia,33,AUS,10,AUS,7,9,11,27,1992,Spain
256,Athletics,Athletics,ATH,Australia,33,AUS,7,AUS,9,9,23,41,1996,United States
257,Athletics,Athletics,ATH,Australia,33,AUS,4,AUS,16,25,17,58,2000,Australia
258,Athletics,Athletics,ATH,Australia,33,AUS,4,AUS,17,16,17,50,2004,Greece
259,Athletics,Athletics,ATH,Australia,33,AUS,6,AUS,14,15,17,46,2008,China
260,Athletics,Athletics,ATH,Australia,33,AUS,8,AUS,8,15,12,35,2012,United Kingdom
261,Athletics,Athletics,ATH,Australia,33,AUS,10,AUS,8,11,10,29,2016,Brazil
262,Athletics,Athletics,ATH,Australia,33,AUS,6,AUS,17,7,22,46,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
263,Athletics,Athletics,ATH,Australia,33,AUS,4,AUS,18,19,16,53,2024,France
264,Badminton,Badminton,BDM,Australia,0,AUS,8,AUS,2,0,0,2,1896,Greece
265,Badminton,Badminton,BDM,Australia,0,AUS,9,AUS,2,0,3,5,1900,France
266,Badminton,Badminton,BDM,Australia,0,AUS,12,AUS,0,3,1,4,1904,United States
267,Badminton,Badminton,BDM,Australia,0,AUS,11,AUS,1,2,2,5,1908,United Kingdom
268,Badminton,Badminton,BDM,Australia,0,AUS,12,AUS,2,2,3,7,1912,Sweden
269,Badminton,Badminton,BDM,Australia,0,AUS,16,AUS,0,2,1,3,1920,Belgium
270,Badminton,Badminton,BDM,Australia,0,AUS,11,AUS,3,1,2,6,1924,France
271,Badminton,Badminton,BDM,Australia,0,AUS,19,AUS,1,2,1,4,1928,Netherlands
272,Badminton,Badminton,BDM,Australia,0,AUS,11,AUS,3,1,1,5,1932,United States
273,Badminton,Badminton,BDM,Australia,0,AUS,18,AUS,1,1,3,5,1932,United States
274,Badminton,Badminton,BDM,Australia,0,AUS,30,AUS,0,0,1,1,1936,Germany
275,Badminton,Badminton,BDM,Australia,0,AUS,14,AUS,2,6,5,13,1948,United Kingdom
276,Badminton,Badminton,BDM,Australia,0,AUS,9,AUS,6,2,3,11,1952,Finland
277,Badminton,Badminton,BDM,Australia,0,AUS,3,AUS,13,8,14,35,1956,Australia
278,Badminton,Badminton,BDM,Australia,0,AUS,5,AUS,8,8,6,22,1960,Italy
279,Badminton,Badminton,BDM,Australia,0,AUS,18,AUS,1,1,0,2,1960,Italy
280,Badminton,Badminton,BDM,Australia,0,AUS,8,AUS,6,2,10,18,1964,Japan
281,Badminton,Badminton,BDM,Australia,0,AUS,9,AUS,5,7,5,17,1968,Mexico
282,Badminton,Badminton,BDM,Australia,0,AUS,6,AUS,8,7,2,17,1972,West Germany
283,Badminton,Badminton,BDM,Australia,0,AUS,32,AUS,0,1,4,5,1976,Canada
284,Badminton,Badminton,BDM,Australia,0,AUS,15,AUS,2,2,5,9,1980,Soviet Union
285,Badminton,Badminton,BDM,Australia,0,AUS,14,AUS,4,8,12,24,1984,United States
286,Badminton,Badminton,BDM,Australia,0,AUS,15,AUS,3,6,5,14,1988,South Korea
287,Badminton,Badminton,BDM,Australia,0,AUS,10,AUS,7,9,11,27,1992,Spain
288,Badminton,Badminton,BDM,Australia,0,AUS,7,AUS,9,9,23,41,1996,United States
289,Badminton,Badminton,BDM,Australia,0,AUS,4,AUS,16,25,17,58,2000,Australia
290,Badminton,Badminton,BDM,Australia,0,AUS,4,AUS,17,16,17,50,2004,Greece
291,Badminton,Badminton,BDM,Australia,0,AUS,6,AUS,14,15,17,46,2008,China
292,Badminton,Badminton,BDM,Australia,0,AUS,8,AUS,8,15,12,35,2012,United Kingdom
293,Badminton,Badminton,BDM,Australia,0,AUS,10,AUS,8,11,10,29,2016,Brazil
294,Badminton,Badminton,BDM,Australia,0,AUS,6,AUS,17,7,22,46,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
295,Badminton,Badminton,BDM,Australia,0,AUS,4,AUS,18,19,16,53,2024,France
